id,value_encoded,value_category
45469961,1,Fair_Value
1123358393564204029,0,Poor_Value
4097700,1,Fair_Value
6415740,0,Poor_Value
879727871482654355,0,Poor_Value
15849484,1,Fair_Value
1161241962365378838,0,Poor_Value
1123130687764964501,1,Fair_Value
1188517854218837835,0,Poor_Value
47596281,2,Excellent_Value
948589602324266112,1,Fair_Value
36532979,1,Fair_Value
50150389,0,Poor_Value
1216254524509751339,1,Fair_Value
19776590,0,Poor_Value
1421909511775715041,2,Excellent_Value
1435635968740089038,2,Excellent_Value
16964378,0,Poor_Value
26703061,2,Excellent_Value
35783140,1,Fair_Value
1239255035976031971,2,Excellent_Value
703821764388407346,1,Fair_Value
1027006964772513055,1,Fair_Value
1442422506151842885,1,Fair_Value
1149997513235987044,1,Fair_Value
845771398114385013,2,Excellent_Value
1361804122424510068,1,Fair_Value
49056071,2,Excellent_Value
6915497,0,Poor_Value
1331393361990793441,2,Excellent_Value
709652496313874978,1,Fair_Value
18225826,1,Fair_Value
29263277,0,Poor_Value
847270379273202509,2,Excellent_Value
1163167820307948830,2,Excellent_Value
1198243449435192599,0,Poor_Value
45380142,1,Fair_Value
1208675421813329048,1,Fair_Value
1435212799294404616,0,Poor_Value
1098109153225207713,0,Poor_Value
35514085,0,Poor_Value
25013536,2,Excellent_Value
852183233927023527,1,Fair_Value
899400638213337065,1,Fair_Value
787069450685510820,0,Poor_Value
45104646,1,Fair_Value
1435137243292615461,0,Poor_Value
42336611,2,Excellent_Value
28881655,2,Excellent_Value
835050210057275033,0,Poor_Value
1485646503007066544,1,Fair_Value
1331895358080636298,1,Fair_Value
2538807,2,Excellent_Value
9451858,0,Poor_Value
935656682240666915,0,Poor_Value
50117286,2,Excellent_Value
1107251079516155042,1,Fair_Value
47988302,1,Fair_Value
750928256745638404,0,Poor_Value
26370538,1,Fair_Value
53355303,1,Fair_Value
772612596901996557,2,Excellent_Value
1289396935356585413,0,Poor_Value
1446657123455059295,0,Poor_Value
13233712,1,Fair_Value
1221391373466136955,0,Poor_Value
3124541,1,Fair_Value
22548614,2,Excellent_Value
699132240686499692,1,Fair_Value
15900116,1,Fair_Value
1461613167333665184,0,Poor_Value
1044544833325023853,2,Excellent_Value
1095132205788585803,1,Fair_Value
24653881,0,Poor_Value
1480119990546391448,0,Poor_Value
809510504911155042,1,Fair_Value
608603076064051838,0,Poor_Value
50995452,0,Poor_Value
613573252380942207,2,Excellent_Value
19830610,0,Poor_Value
43729217,1,Fair_Value
6732110,2,Excellent_Value
655015376599155917,2,Excellent_Value
43691263,1,Fair_Value
1320970788160789101,0,Poor_Value
1018849762548435218,1,Fair_Value
1495750709021453660,2,Excellent_Value
678123894237054573,1,Fair_Value
30801433,1,Fair_Value
50707216,0,Poor_Value
1424673981858413832,0,Poor_Value
845078736445034121,2,Excellent_Value
6360976,0,Poor_Value
956723436929813205,2,Excellent_Value
23020140,1,Fair_Value
21717673,0,Poor_Value
6183596,2,Excellent_Value
1488333145737429851,1,Fair_Value
1162987141348180925,0,Poor_Value
17571670,2,Excellent_Value
896692639358367227,2,Excellent_Value
1398115326541693367,0,Poor_Value
30778243,0,Poor_Value
642345669469258115,1,Fair_Value
724648012502886160,0,Poor_Value
893104176590085539,0,Poor_Value
1350951085584922176,0,Poor_Value
1421186713512056495,0,Poor_Value
1379147091968735142,1,Fair_Value
50811920,0,Poor_Value
39390788,1,Fair_Value
1256761607803048215,2,Excellent_Value
655374147136627641,1,Fair_Value
574500112509083926,1,Fair_Value
23060416,2,Excellent_Value
29435807,1,Fair_Value
1892360,1,Fair_Value
928947999194136156,1,Fair_Value
1496410790640111591,2,Excellent_Value
749993037219298620,1,Fair_Value
1390635754692433662,0,Poor_Value
30365369,0,Poor_Value
32048914,2,Excellent_Value
52155216,2,Excellent_Value
913348655239624934,1,Fair_Value
49342038,2,Excellent_Value
1395317420273007693,2,Excellent_Value
32522780,2,Excellent_Value
858043424446158656,1,Fair_Value
763180309022940877,2,Excellent_Value
1177533120186421646,1,Fair_Value
12972789,2,Excellent_Value
720103657951296864,1,Fair_Value
765755747733176842,2,Excellent_Value
54064940,0,Poor_Value
751463456796780679,2,Excellent_Value
14976312,2,Excellent_Value
51864093,2,Excellent_Value
7118856,1,Fair_Value
1358065958171421677,1,Fair_Value
770396988675428657,2,Excellent_Value
45935886,1,Fair_Value
24614789,1,Fair_Value
933414395071702853,0,Poor_Value
851771629596739219,0,Poor_Value
954514583027879423,0,Poor_Value
51361287,2,Excellent_Value
1067492207886614975,2,Excellent_Value
1292229085475580317,2,Excellent_Value
1438629194487673173,2,Excellent_Value
4566622,1,Fair_Value
28303660,2,Excellent_Value
1346353621569353703,1,Fair_Value
23561761,0,Poor_Value
579177643609890240,0,Poor_Value
52917088,1,Fair_Value
1189859095602779956,1,Fair_Value
1258170614002114863,0,Poor_Value
998654314134791208,1,Fair_Value
816781103728898533,0,Poor_Value
581403676652781401,2,Excellent_Value
20874967,0,Poor_Value
41630017,0,Poor_Value
11022426,2,Excellent_Value
51888114,0,Poor_Value
51285891,1,Fair_Value
19084255,1,Fair_Value
1171700824009656535,1,Fair_Value
40916592,2,Excellent_Value
1424798547035120721,0,Poor_Value
28872641,2,Excellent_Value
1097776052508972851,0,Poor_Value
1409575341503594309,1,Fair_Value
1506126270890313027,0,Poor_Value
45698063,0,Poor_Value
892213857877897634,0,Poor_Value
801583794123996190,1,Fair_Value
1044596955594904812,0,Poor_Value
731182594868845559,1,Fair_Value
1385686690489614981,0,Poor_Value
621382296387496368,1,Fair_Value
1506746846487105797,2,Excellent_Value
27492195,1,Fair_Value
1469961377724145104,0,Poor_Value
46171360,1,Fair_Value
1227927819390633794,1,Fair_Value
43603780,2,Excellent_Value
32789342,2,Excellent_Value
769149238108725096,0,Poor_Value
38023342,1,Fair_Value
698627071613806331,2,Excellent_Value
8759998,0,Poor_Value
43143132,2,Excellent_Value
1433796366741883811,2,Excellent_Value
51601237,0,Poor_Value
639210338638942003,0,Poor_Value
35642877,2,Excellent_Value
1335832425190622653,0,Poor_Value
50158656,0,Poor_Value
809698252553456266,0,Poor_Value
973971984450167992,0,Poor_Value
19123010,2,Excellent_Value
780818268809397420,2,Excellent_Value
1285002330691757522,0,Poor_Value
12368621,2,Excellent_Value
6813171,0,Poor_Value
28762574,2,Excellent_Value
33495561,1,Fair_Value
50465448,0,Poor_Value
54182670,0,Poor_Value
1390077114107814129,2,Excellent_Value
209514,2,Excellent_Value
53561179,1,Fair_Value
6344096,2,Excellent_Value
1353428745220842239,1,Fair_Value
11341270,2,Excellent_Value
988706839341288154,0,Poor_Value
68239,0,Poor_Value
577810610514169260,2,Excellent_Value
11918849,0,Poor_Value
45996800,2,Excellent_Value
43818989,0,Poor_Value
808033005728294337,2,Excellent_Value
731927480530871801,1,Fair_Value
1251993289502645262,2,Excellent_Value
957382572188689373,0,Poor_Value
956834341111733290,2,Excellent_Value
1294325746120634727,0,Poor_Value
30890889,1,Fair_Value
52937931,0,Poor_Value
716755666767949787,0,Poor_Value
1144219410841803819,1,Fair_Value
1428595387776336654,2,Excellent_Value
1291938716021157985,2,Excellent_Value
964199358887778898,0,Poor_Value
1013786706821391033,1,Fair_Value
49673012,2,Excellent_Value
684141895484132129,2,Excellent_Value
1206051233110509561,0,Poor_Value
1180752985135659713,1,Fair_Value
600591926029634502,2,Excellent_Value
1036237192737284138,0,Poor_Value
1219893532733138319,0,Poor_Value
565291871812880066,0,Poor_Value
1183418170910724936,0,Poor_Value
969692955363645510,0,Poor_Value
965980066576967747,1,Fair_Value
1384844663810908186,1,Fair_Value
15283495,1,Fair_Value
38346769,1,Fair_Value
1216708595194279924,0,Poor_Value
1001534641974341640,1,Fair_Value
1297960021207058842,1,Fair_Value
1087190522240341813,2,Excellent_Value
48350984,2,Excellent_Value
1123887952577222607,1,Fair_Value
787073011889821463,1,Fair_Value
48203474,1,Fair_Value
10859332,2,Excellent_Value
34343963,0,Poor_Value
1463871806163755042,0,Poor_Value
39623270,1,Fair_Value
1372776831650350178,0,Poor_Value
16665071,1,Fair_Value
2150980,0,Poor_Value
43548028,1,Fair_Value
4025768,0,Poor_Value
699989623347824026,0,Poor_Value
758693222071642470,1,Fair_Value
1207404109634140813,2,Excellent_Value
49369290,1,Fair_Value
22495406,2,Excellent_Value
784014823060729461,0,Poor_Value
1470869001408688417,0,Poor_Value
882179919150968370,2,Excellent_Value
630663961910343566,2,Excellent_Value
1293135904846030242,0,Poor_Value
1498049024466232234,0,Poor_Value
831055955817064777,2,Excellent_Value
1426299330691298460,0,Poor_Value
37686716,0,Poor_Value
12497014,2,Excellent_Value
629656724053781406,0,Poor_Value
1388816793368287234,1,Fair_Value
1268462228819473657,2,Excellent_Value
1387819221103548528,2,Excellent_Value
52030809,2,Excellent_Value
871883592454492916,2,Excellent_Value
46661715,2,Excellent_Value
839109880343709030,1,Fair_Value
41777278,2,Excellent_Value
1242761865146585422,1,Fair_Value
15111599,1,Fair_Value
52538576,1,Fair_Value
1136219745585047009,0,Poor_Value
1785463,2,Excellent_Value
45457918,1,Fair_Value
15999597,2,Excellent_Value
1164031014225898544,0,Poor_Value
52076589,1,Fair_Value
26666701,1,Fair_Value
1238439681921127590,0,Poor_Value
20935007,1,Fair_Value
845177273157265666,2,Excellent_Value
18412175,0,Poor_Value
1063174622335274781,2,Excellent_Value
4550843,2,Excellent_Value
28758496,2,Excellent_Value
1305889197670768795,2,Excellent_Value
594838646647881413,1,Fair_Value
1437799003553324060,2,Excellent_Value
19734213,1,Fair_Value
52269214,2,Excellent_Value
46581681,0,Poor_Value
15674290,0,Poor_Value
474107,2,Excellent_Value
3114387,1,Fair_Value
53542115,1,Fair_Value
53763980,0,Poor_Value
1219747242319953563,0,Poor_Value
1428465,0,Poor_Value
774629074398994911,1,Fair_Value
586835106282026134,1,Fair_Value
878289580578607764,0,Poor_Value
1319583396296870084,2,Excellent_Value
562269117298881577,0,Poor_Value
36641595,2,Excellent_Value
681103230269826039,0,Poor_Value
1050036953438201040,2,Excellent_Value
32570904,1,Fair_Value
51620947,0,Poor_Value
1287907353467427565,0,Poor_Value
21591945,2,Excellent_Value
1171116706164076595,2,Excellent_Value
2763850,2,Excellent_Value
53258305,1,Fair_Value
43602530,0,Poor_Value
964549635404188027,0,Poor_Value
933551873762535499,0,Poor_Value
42403169,0,Poor_Value
643399323243903269,1,Fair_Value
1301105898935799738,2,Excellent_Value
1472006357835481318,1,Fair_Value
48641666,2,Excellent_Value
1185175285781555640,0,Poor_Value
1482912545327858096,2,Excellent_Value
737135735968121636,0,Poor_Value
31424518,2,Excellent_Value
955007698236841104,1,Fair_Value
567994051452696942,2,Excellent_Value
619605575248018100,0,Poor_Value
1096175662255107077,1,Fair_Value
808995594566778409,2,Excellent_Value
8275435,1,Fair_Value
40430942,0,Poor_Value
1469646722268970661,2,Excellent_Value
18210356,0,Poor_Value
648576015044455600,2,Excellent_Value
1471943723810251714,1,Fair_Value
51093859,0,Poor_Value
34680770,2,Excellent_Value
48568008,0,Poor_Value
42044647,0,Poor_Value
631161439909918444,1,Fair_Value
35190654,1,Fair_Value
1407528439378574431,0,Poor_Value
968083965860780150,2,Excellent_Value
1305855004550428437,1,Fair_Value
39372931,0,Poor_Value
966293247952927837,0,Poor_Value
27990978,2,Excellent_Value
43565930,2,Excellent_Value
1442872745918981200,2,Excellent_Value
1077557911898031784,2,Excellent_Value
1234027534499320764,2,Excellent_Value
1306766120551188855,2,Excellent_Value
1513162425412750380,2,Excellent_Value
985021873010721907,0,Poor_Value
1196480145924516757,2,Excellent_Value
1383698437779187797,2,Excellent_Value
1287352522192529549,1,Fair_Value
3240016,2,Excellent_Value
72444,2,Excellent_Value
353292,2,Excellent_Value
1258736885101034430,0,Poor_Value
46196245,2,Excellent_Value
24605963,0,Poor_Value
40727468,0,Poor_Value
18071558,2,Excellent_Value
811398035303152161,0,Poor_Value
47028102,1,Fair_Value
1090698270277066606,1,Fair_Value
941972803768049282,1,Fair_Value
638989158737500853,1,Fair_Value
4022990,1,Fair_Value
1395892937303884792,1,Fair_Value
33970108,1,Fair_Value
1216750538133449217,0,Poor_Value
18768886,0,Poor_Value
18777754,2,Excellent_Value
1434425,2,Excellent_Value
40625854,0,Poor_Value
1315209871379804035,1,Fair_Value
1382011602837253384,0,Poor_Value
1508912982230645225,0,Poor_Value
14190524,2,Excellent_Value
881402493042000652,2,Excellent_Value
1057294127277419881,0,Poor_Value
1371580997315344936,0,Poor_Value
29343591,2,Excellent_Value
1384909571865398775,2,Excellent_Value
15131746,2,Excellent_Value
581083107239275912,2,Excellent_Value
1275621660546973579,1,Fair_Value
50900210,2,Excellent_Value
1371131595664695209,1,Fair_Value
1078459021707523905,2,Excellent_Value
728585,1,Fair_Value
719627854706420240,0,Poor_Value
912922276129467129,2,Excellent_Value
1470860505177015537,1,Fair_Value
847927824070655959,0,Poor_Value
964202381274581710,1,Fair_Value
734917845735382401,1,Fair_Value
666745234343226258,2,Excellent_Value
1290196984687611150,1,Fair_Value
767543758257297082,1,Fair_Value
1461613423529615453,0,Poor_Value
1179636140644478236,1,Fair_Value
1376158531604290050,1,Fair_Value
9261548,0,Poor_Value
582227344766135351,1,Fair_Value
33474224,2,Excellent_Value
21579309,1,Fair_Value
1447626767562283931,1,Fair_Value
1085186954524801306,2,Excellent_Value
9611332,0,Poor_Value
1160395308484210510,0,Poor_Value
24917420,0,Poor_Value
50553723,1,Fair_Value
1447417477497355063,2,Excellent_Value
745828243762553499,1,Fair_Value
3013427,0,Poor_Value
892982783050060865,0,Poor_Value
27293379,0,Poor_Value
1162506726772277641,2,Excellent_Value
25158163,1,Fair_Value
1252451557895183407,0,Poor_Value
53196552,0,Poor_Value
869004524069825092,0,Poor_Value
54200207,0,Poor_Value
1051137513394767166,0,Poor_Value
24991467,2,Excellent_Value
27852325,2,Excellent_Value
32531823,0,Poor_Value
1237827380400490752,1,Fair_Value
51487481,1,Fair_Value
989192386268313809,1,Fair_Value
757333863964963366,2,Excellent_Value
53173208,1,Fair_Value
639080241193784080,0,Poor_Value
1467408973115952735,1,Fair_Value
1472828424420096290,1,Fair_Value
2396477,0,Poor_Value
673245628020642932,1,Fair_Value
1439434867726403352,0,Poor_Value
1294638302847521231,1,Fair_Value
1005744514049695987,1,Fair_Value
49115658,1,Fair_Value
1278607608749626220,0,Poor_Value
753625249648952156,1,Fair_Value
27508842,2,Excellent_Value
53484134,1,Fair_Value
50136259,1,Fair_Value
1158181617364477034,0,Poor_Value
50749922,1,Fair_Value
1127756207741264685,2,Excellent_Value
51232901,1,Fair_Value
575901777041235441,2,Excellent_Value
750831362097242122,1,Fair_Value
1278216206690448997,1,Fair_Value
1019976874863390781,0,Poor_Value
22507343,0,Poor_Value
1262358086088819108,1,Fair_Value
1479272240065984415,1,Fair_Value
889286834539476645,0,Poor_Value
1035127724656467293,1,Fair_Value
53383821,2,Excellent_Value
1253201074858558842,1,Fair_Value
821111957385119497,1,Fair_Value
1250073077860597911,0,Poor_Value
985653017923891896,1,Fair_Value
1230529278572782571,1,Fair_Value
707541866322932962,2,Excellent_Value
18359884,0,Poor_Value
1483485120218835639,1,Fair_Value
900706006037079417,0,Poor_Value
904969097309033884,1,Fair_Value
30915269,1,Fair_Value
42807849,1,Fair_Value
33498714,1,Fair_Value
45224017,2,Excellent_Value
36601074,0,Poor_Value
1149991979766194055,2,Excellent_Value
1334963163014161427,1,Fair_Value
1006999162702594019,0,Poor_Value
16054072,2,Excellent_Value
1384309599693369202,0,Poor_Value
49248632,2,Excellent_Value
1450887138452279065,0,Poor_Value
1419983355400276613,2,Excellent_Value
760358185823372248,2,Excellent_Value
1101059683181872196,1,Fair_Value
1157972063855312665,2,Excellent_Value
29898335,2,Excellent_Value
16738680,1,Fair_Value
1450888472315563818,0,Poor_Value
811431668986048682,1,Fair_Value
52739853,2,Excellent_Value
1305869643027038505,0,Poor_Value
1236204835461389257,2,Excellent_Value
612858304613790590,1,Fair_Value
1019334756479300008,0,Poor_Value
1450292346091685019,0,Poor_Value
1143417900890034650,0,Poor_Value
13896608,0,Poor_Value
34999659,2,Excellent_Value
40112838,0,Poor_Value
1481601309262028393,0,Poor_Value
874967437224589209,1,Fair_Value
1487238839211130899,1,Fair_Value
8068539,0,Poor_Value
1450866467179490366,2,Excellent_Value
21648684,0,Poor_Value
620812152690352294,1,Fair_Value
820618404226830847,0,Poor_Value
42119586,1,Fair_Value
33941440,2,Excellent_Value
1012397354148414173,0,Poor_Value
1445735207238725086,1,Fair_Value
29211690,0,Poor_Value
847923645448729617,0,Poor_Value
1299394838564937239,2,Excellent_Value
914708507604589419,1,Fair_Value
1040248789035116162,1,Fair_Value
730518513423340069,2,Excellent_Value
1140970263377110828,2,Excellent_Value
888329024729748457,0,Poor_Value
1110353824958650843,2,Excellent_Value
269463,0,Poor_Value
885550,2,Excellent_Value
1381284564728327789,1,Fair_Value
881221530184992954,1,Fair_Value
43103470,2,Excellent_Value
1398840633798637423,1,Fair_Value
48624676,1,Fair_Value
1498049013005621936,0,Poor_Value
52302237,1,Fair_Value
1185678052983104055,0,Poor_Value
1487763941717392692,1,Fair_Value
21980917,0,Poor_Value
1223656912312512951,0,Poor_Value
31206489,2,Excellent_Value
552835755975381993,2,Excellent_Value
46411035,0,Poor_Value
1228999898263740993,2,Excellent_Value
48274436,2,Excellent_Value
35640646,2,Excellent_Value
23373781,0,Poor_Value
2418835,0,Poor_Value
941367556376388911,0,Poor_Value
1342782715510151171,2,Excellent_Value
12382918,1,Fair_Value
51324102,0,Poor_Value
2315086,1,Fair_Value
9197404,2,Excellent_Value
613110987320637816,2,Excellent_Value
43900087,1,Fair_Value
1106755001199933890,1,Fair_Value
15901094,0,Poor_Value
755532712227678605,1,Fair_Value
1472057399517965158,0,Poor_Value
1414680060743469085,0,Poor_Value
45975078,0,Poor_Value
771315812740338217,0,Poor_Value
1218423837020906788,2,Excellent_Value
907206259910528142,1,Fair_Value
1298569952417638240,1,Fair_Value
1376513079789289740,2,Excellent_Value
881140344421798844,1,Fair_Value
17717908,2,Excellent_Value
1097770733542709937,1,Fair_Value
1248805626506871278,1,Fair_Value
808623507200236123,0,Poor_Value
955023210186097303,2,Excellent_Value
46073261,1,Fair_Value
20918715,2,Excellent_Value
1293512945938240502,1,Fair_Value
1460631337784399920,2,Excellent_Value
1351194525891950893,0,Poor_Value
1294325047381290624,0,Poor_Value
688986933270102648,1,Fair_Value
1413036049791646895,0,Poor_Value
1140579384689222131,2,Excellent_Value
19038261,0,Poor_Value
1151019870735780772,2,Excellent_Value
20859331,2,Excellent_Value
52896702,2,Excellent_Value
939292684869749574,2,Excellent_Value
544918979860252219,2,Excellent_Value
955028014358987744,1,Fair_Value
11419036,0,Poor_Value
41691063,1,Fair_Value
47746177,1,Fair_Value
35652385,2,Excellent_Value
1436998860418851122,2,Excellent_Value
1024024856020657535,2,Excellent_Value
1028987884207576609,2,Excellent_Value
13297590,0,Poor_Value
662515423969889624,2,Excellent_Value
697093351576120156,0,Poor_Value
1019656628506774545,1,Fair_Value
792148260517589250,2,Excellent_Value
4518031,2,Excellent_Value
1014628132676528423,2,Excellent_Value
40134594,0,Poor_Value
41890758,2,Excellent_Value
46695587,0,Poor_Value
1480087288531713432,1,Fair_Value
626859542166682393,2,Excellent_Value
23147212,2,Excellent_Value
879364394773769707,1,Fair_Value
46940191,1,Fair_Value
29593658,0,Poor_Value
1035555266909989874,2,Excellent_Value
39969765,2,Excellent_Value
47304039,2,Excellent_Value
1419637242764246763,0,Poor_Value
1132393089725540369,1,Fair_Value
1414713854759405219,0,Poor_Value
53890978,2,Excellent_Value
1040009377518128803,0,Poor_Value
1004389108886319538,1,Fair_Value
1429731183546477806,2,Excellent_Value
1299004619326309760,0,Poor_Value
3290739,2,Excellent_Value
51200281,2,Excellent_Value
852291789575510973,0,Poor_Value
1055115652306886020,0,Poor_Value
673533512143945791,1,Fair_Value
39111138,2,Excellent_Value
16972806,0,Poor_Value
663857429685626486,1,Fair_Value
959023495310832867,0,Poor_Value
856686358799385061,0,Poor_Value
54083759,1,Fair_Value
1101796815750390897,2,Excellent_Value
6207741,1,Fair_Value
25432128,0,Poor_Value
1097920878273074014,0,Poor_Value
47730214,1,Fair_Value
39056625,2,Excellent_Value
866822984714157789,2,Excellent_Value
1042045574559654373,0,Poor_Value
939354002710117360,0,Poor_Value
1282756038244495878,1,Fair_Value
21566647,2,Excellent_Value
1472907395290980641,1,Fair_Value
49669707,1,Fair_Value
1496196850146935751,2,Excellent_Value
1082934862929783983,2,Excellent_Value
45867165,2,Excellent_Value
600748188778865589,2,Excellent_Value
4093967,0,Poor_Value
1444335379643491530,1,Fair_Value
1249764452797229956,2,Excellent_Value
1151011291477308276,2,Excellent_Value
46803221,2,Excellent_Value
30368629,0,Poor_Value
1461995558564389992,1,Fair_Value
1010442363304047353,0,Poor_Value
1248516812572343084,0,Poor_Value
34656053,2,Excellent_Value
918958066711855251,0,Poor_Value
10854342,2,Excellent_Value
1232650363246797034,1,Fair_Value
1260972131124426679,2,Excellent_Value
1248008666709430985,2,Excellent_Value
1401387207922740367,1,Fair_Value
718798897889873909,0,Poor_Value
1279779803016771156,1,Fair_Value
930337298946653092,2,Excellent_Value
1457669191784882295,1,Fair_Value
8309401,2,Excellent_Value
52587414,1,Fair_Value
1459992986297996816,2,Excellent_Value
59831,0,Poor_Value
1007370963674079878,1,Fair_Value
1009605117729102757,2,Excellent_Value
1294275902525475076,0,Poor_Value
1371977279457181299,1,Fair_Value
719556132091942427,1,Fair_Value
1468315597642981164,2,Excellent_Value
13748136,1,Fair_Value
1334786155895732029,1,Fair_Value
761529273300663082,2,Excellent_Value
31566371,1,Fair_Value
880053805480350795,1,Fair_Value
1411591098664160351,1,Fair_Value
1349338775815932560,2,Excellent_Value
1465571373106141530,1,Fair_Value
894537097171745611,2,Excellent_Value
6435497,0,Poor_Value
1397289220165733754,2,Excellent_Value
1021708403643564793,1,Fair_Value
1399967467597238017,1,Fair_Value
1130380537980459134,1,Fair_Value
31415703,2,Excellent_Value
842305834310945782,1,Fair_Value
671015963669454118,0,Poor_Value
1434909880990718751,2,Excellent_Value
1488021005592521691,0,Poor_Value
31226035,0,Poor_Value
580348379376674225,0,Poor_Value
898817397902061413,0,Poor_Value
1416738270353411331,1,Fair_Value
6301675,2,Excellent_Value
1144753179973491172,0,Poor_Value
715539520916770979,1,Fair_Value
1811134,2,Excellent_Value
50323617,1,Fair_Value
43832586,1,Fair_Value
1229495172511578696,2,Excellent_Value
1176216958266944353,1,Fair_Value
27897711,0,Poor_Value
1253312401848018599,2,Excellent_Value
41524395,2,Excellent_Value
1439184871397846657,2,Excellent_Value
1169130888196591920,0,Poor_Value
596200414485039230,0,Poor_Value
908933039008249260,1,Fair_Value
43928758,1,Fair_Value
51846850,2,Excellent_Value
1449299237758972442,1,Fair_Value
30805783,1,Fair_Value
21966303,2,Excellent_Value
720166561346636539,0,Poor_Value
22532009,0,Poor_Value
1462621474940555124,0,Poor_Value
24309390,1,Fair_Value
1320455467400004722,1,Fair_Value
938088731741224305,2,Excellent_Value
952928913809002364,1,Fair_Value
1410275219975702833,0,Poor_Value
1206067363734141940,0,Poor_Value
1417565584552347291,2,Excellent_Value
28712636,0,Poor_Value
1449499924101483290,1,Fair_Value
1129296261253913388,1,Fair_Value
30800214,1,Fair_Value
44051390,2,Excellent_Value
1505959449301031418,1,Fair_Value
1050110943957368716,0,Poor_Value
916231822724977492,1,Fair_Value
1163126010442848085,0,Poor_Value
929707397495574143,2,Excellent_Value
1041372632260987008,0,Poor_Value
32450431,2,Excellent_Value
668992553168619888,1,Fair_Value
1374792498661254770,1,Fair_Value
786947243540473832,1,Fair_Value
897763315745280129,2,Excellent_Value
51902269,0,Poor_Value
1388751901253639333,0,Poor_Value
1086944267649091246,0,Poor_Value
1350434586216614094,0,Poor_Value
520317781511580207,0,Poor_Value
1254407493139981072,2,Excellent_Value
12277442,0,Poor_Value
669524654825362157,1,Fair_Value
28080061,0,Poor_Value
1414119203142287500,2,Excellent_Value
12974151,2,Excellent_Value
573240352382253310,2,Excellent_Value
12154955,1,Fair_Value
46749815,2,Excellent_Value
1229859380436786969,1,Fair_Value
10455995,2,Excellent_Value
41802296,0,Poor_Value
26812371,2,Excellent_Value
10806778,0,Poor_Value
1045006934019858775,2,Excellent_Value
592847308721994274,0,Poor_Value
565272991337321502,2,Excellent_Value
